order iters  norm  errmean cylind displa horsep weight accele model  origin
    1   100    no  10.2126  92.70  47.00  58.60  88.50  45.50 100.00  68.20
    1   100    no  10.0570  93.80  48.40  62.50  89.30  46.30 100.00  69.70
    1   100    no  10.0077  91.30  48.50  60.20  87.30  49.10  99.70  71.40
    1   100    no  10.0617  94.40  46.00  58.70  91.20  47.20  99.00  71.50
    1   100    no  10.1447  92.50  46.50  61.30  90.30  46.50 100.00  71.50
    1   100   tog  88.7765  55.00  53.00  67.90  87.30  52.90  93.60  58.80
    1   100   tog  86.3294  55.90  55.20  64.90  90.10  51.50  92.30  58.60
    1   100   tog  86.9868  49.70  52.80  65.80  88.90  54.30  88.60  52.80
    1   100   tog  87.0337  40.50  52.30  67.20  88.20  49.70  90.50  55.90
    1   100   tog  83.1488  52.30  55.50  67.20  86.80  50.00  94.20  59.00
    1   100  dtog  87.9275  44.50  55.40  65.10  86.70  51.70  88.50  61.40
    1   100  dtog  89.7219  44.70  51.20  63.60  88.80  52.00  90.40  55.70
    1   100  dtog  86.6068  47.50  52.50  65.90  88.00  50.10  89.60  57.10
    1   100  dtog  90.5456  50.50  52.50  64.20  87.00  52.10  91.80  57.70
    1   100  dtog  87.0452  41.30  54.10  65.80  86.30  52.00  88.60  57.10
    2   100    no   9.0257  26.20  41.50  34.30  89.50  46.40 100.00  41.30
    2   100    no   8.9187  25.60  40.70  34.20  91.20  41.20  99.10  42.70
    2   100    no   8.9602  28.20  41.10  35.40  91.00  41.10  99.90  43.00
    2   100    no   8.9659  26.90  44.10  37.80  89.20  43.30  99.50  43.50
    2   100    no   8.9724  28.20  39.10  35.00  89.30  45.40  99.80  44.60
    1    10    no  10.3914  92.00  49.00  62.00  86.00  49.00 100.00  72.00
    1    10   tog  84.2308  62.00  53.00  67.00  87.00  52.00  92.00  40.00
